date,Y1,Y2,Y3,Y4,Y5,Y6,Y7,close
2016/3/4,-0.049867,-1.612301,-0.832154,1.539619,-1.15848,-0.342738,-0.737986,2874.15
2016/3/7,0.295111,-1.741328,-0.930769,1.20782,-0.797067,-0.846739,-0.591883,2897.34
2016/3/8,-0.311835,-1.719164,-1.046314,1.242483,-0.865824,-0.660445,-0.54137,2901.39
2016/3/9,-0.616134,-1.824046,-1.169018,1.133599,-0.734745,-0.869722,-0.456832,2862.56
2016/3/10,-1.204811,-1.857157,-1.396947,1.038646,-0.624489,-1.001237,-0.387381,2804.73
2016/3/11,-1.135709,-1.979986,-1.340452,1.002999,-0.578566,-1.03793,-0.299485,2810.31
2016/3/14,-0.591246,-1.783735,-1.166259,1.066404,-0.722842,-0.612981,-0.340602,2859.5
2016/3/15,-0.511581,-1.827853,-1.113406,0.975974,-0.58865,-0.843629,-0.325106,2864.37
2016/3/16,-0.633068,-1.739275,-1.127557,1.008404,-0.64256,-0.690251,-0.345947,2870.43
2016/3/17,-0.062948,-1.720112,-0.880788,1.011343,-0.630606,-0.649718,-0.359149,2904.83
2016/3/18,0.391349,-1.494654,-0.697247,1.218104,-0.933833,0.026247,-0.433281,2955.15
2016/3/21,1.327062,-1.341822,-0.365706,1.239611,-0.939996,0.186415,-0.520981,3018.8
2016/3/22,1.018986,-1.428841,-0.520525,1.069213,-0.679515,-0.228165,-0.470899,2999.36
2016/3/23,0.647835,-1.51537,-0.608864,0.95674,-0.48176,-0.514851,-0.413927,3009.96
2016/3/24,0.819641,-1.484252,-0.450895,1.004561,-0.518927,-0.434807,-0.448834,2960.97
2016/3/25,0.088902,-1.593711,-0.800623,0.872627,-0.31521,-0.705208,-0.357575,2979.43
2016/3/28,0.551672,-1.535852,-0.64458,0.919834,-0.294079,-0.517287,-0.390557,2957.82
2016/3/29,0.362951,-1.646423,-0.649831,0.889081,-0.193144,-0.614919,-0.326766,2919.83
2016/3/30,0.16738,-1.56341,-0.636165,0.956798,-0.238541,-0.4052,-0.341949,3000.65
2016/3/31,0.340348,-1.496377,-0.675816,0.964507,-0.221594,-0.283703,-0.355788,3003.92
2016/4/1,2.577852,-1.699217,0.264596,1.201222,0.372075,-0.714889,-0.566882,3009.53
2016/4/5,0.545414,-1.451976,-0.727779,1.383311,0.170184,0.156944,-0.528072,3053.07
2016/4/6,0.078602,-1.408586,-0.828573,1.340205,0.276157,0.043451,-0.541862,3050.59
2016/4/7,0.147447,-1.429742,-0.719132,1.320421,0.356757,-0.046811,-0.548569,3008.42
2016/4/8,-0.355867,-1.559202,-0.859611,1.284213,0.444934,-0.152835,-0.471488,2984.96
2016/4/11,0.14115,-1.458647,-0.646947,1.338682,0.448648,0.036088,-0.547608,3033.96
